title,price,in_stock,rating,url,price_category
Chase Me (Paris Nights #2),25.27,True,5,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Mid-range
Black Dust,34.53,True,5,http://books.toscrape.com/catalogue/black-dust_976/index.html,Mid-range
Birdsong: A Story in Pictures,54.64,True,3,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Premium
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,True,3,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Mid-range
Aladdin and His Wonderful Lamp,53.13,True,3,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Premium
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,True,5,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Premium
Wall and Piece,44.18,True,4,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Premium
The Four Agreements: A Practical Guide to Personal Freedom,17.66,True,5,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Budget
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,True,3,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Mid-range
The Elephant Tree,23.82,True,5,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,Mid-range
The Bear and the Piano,36.89,True,1,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,Mid-range
Sophie's World,15.94,True,5,http://books.toscrape.com/catalogue/sophies-world_966/index.html,Budget
Penny Maybe,33.29,True,3,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,Mid-range
Maude (1883-1993):She Grew Up with the country,18.02,True,2,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Budget
"In a Dark, Dark Wood",19.63,True,1,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Budget
Behind Closed Doors,52.22,True,4,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Premium
You can't bury them all: Poems,33.63,True,2,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,Mid-range
Slow States of Collapse: Poems,57.31,True,3,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Premium
Reasons to Stay Alive,26.41,True,2,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Mid-range
Private Paris (Private #10),47.61,True,5,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Premium
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,True,5,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Mid-range
Without Borders (Wanderlove #1),45.07,True,2,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,Premium
When We Collided,31.77,True,1,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,Mid-range
"We Love You, Charlie Freeman",50.27,True,5,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,Premium
Untitled Collection: Sabbath Poems 2014,14.27,True,4,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Budget
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,True,4,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Premium
Unicorn Tracks,18.78,True,3,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Budget
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,True,1,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,Mid-range
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,True,1,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Budget
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,True,3,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Mid-range
This One Summer,19.49,True,4,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,Budget
Thirst,17.27,True,5,http://books.toscrape.com/catalogue/thirst_946/index.html,Budget
The Torch Is Passed: A Harding Family Story,19.09,True,1,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,Budget
The Secret of Dreadwillow Carse,56.13,True,1,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,Premium
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,True,1,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,Premium
The Past Never Ends,56.5,True,4,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Premium
The Natural History of Us (The Fine Art of Pretending #2),45.22,True,3,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Premium
